datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 14:30:00,1.748,1.085,0.349,3.062,0.349,4.812,0.516,0.064,-0.147,-0.931,1.953,0.229,2.182,0.598,0.648,2.745,1.003,0.332,1.466,0.940,0.429,0.372,0.363,0.375,0.996,1.010,1.264,1.810,1.374,0.618,0.657,1.000,1.000,0.999,0.979,0.977,0.997,1.053,7.333,0.301,0.021,-0.405,-0.191,0.290,0.327,0.519,1.606,1.057,0.625,1.578,1.581,1.582,1.584,1.677,1.593,1.587,1.587,0.644,7.523,0.514,1.033,0.447,0.304,0.307,0.352,1.000,1.719,1.520,0.000,207.671,67.833
2010-06-02 15:00:00,1.738,1.079,0.321,3.043,0.321,-0.219,0.412,0.091,-0.087,-0.893,2.052,0.232,-0.049,0.165,1.514,-0.491,0.801,0.326,1.479,0.942,0.371,0.370,0.363,0.375,0.951,0.953,1.218,1.844,1.332,0.618,0.656,1.000,1.000,0.999,0.980,0.976,0.997,1.053,0.717,0.305,0.029,-0.250,-0.218,0.292,0.340,0.407,1.583,1.049,0.625,1.576,1.576,1.576,1.575,1.677,1.593,1.587,1.587,1.994,-0.677,0.490,1.030,0.365,0.505,0.298,0.363,0.490,0.731,0.443,0.000,207.633,68.229
2010-06-02 15:30:00,1.707,1.059,0.215,2.989,0.215,0.219,0.358,0.209,0.024,-0.796,2.188,0.232,-0.014,-0.014,0.566,0.303,0.692,0.435,1.492,0.945,0.270,0.377,0.359,0.373,0.985,0.985,1.173,1.765,1.328,0.614,0.654,0.998,0.998,0.998,0.980,0.975,0.997,1.052,0.235,0.303,0.048,-0.126,-0.251,0.551,0.668,0.127,1.421,1.009,0.630,1.546,1.546,1.546,1.546,1.673,1.598,1.587,1.582,0.936,0.820,0.579,1.014,0.200,0.623,0.260,0.413,0.654,0.872,0.990,0.000,208.082,69.607
2010-06-03 09:30:00,1.711,1.062,0.345,2.996,0.345,0.266,0.550,0.381,-0.010,-0.541,2.267,0.229,0.060,0.021,0.977,1.288,1.024,0.685,1.500,0.946,0.276,0.372,0.354,0.372,1.000,1.000,1.172,1.754,1.329,0.610,0.652,0.995,0.995,0.997,0.979,0.974,0.997,1.052,0.156,0.303,0.064,-0.098,-0.257,0.776,0.809,0.141,1.388,1.006,0.634,1.550,1.550,1.550,1.550,1.662,1.590,1.587,1.578,1.497,1.124,0.821,0.985,0.402,0.689,0.385,0.421,0.683,0.615,3.556,0.000,209.016,69.776
2010-06-03 10:00:00,1.686,1.046,0.248,2.953,0.248,0.160,0.484,0.278,-0.098,-0.694,2.448,0.225,0.126,0.076,0.949,0.678,0.913,0.499,1.515,0.948,0.311,0.354,0.348,0.370,0.920,0.920,1.177,1.708,1.314,0.605,0.649,0.992,0.992,0.994,0.978,0.974,0.996,1.051,0.142,0.304,0.083,-0.067,-0.267,0.932,0.906,0.135,1.310,0.984,0.627,1.534,1.534,1.534,1.534,1.662,1.586,1.587,1.563,1.502,1.025,0.814,0.828,0.385,0.298,0.375,0.357,1.020,0.751,4.857,0.000,208.474,70.608
2010-06-03 10:30:00,1.680,1.042,0.193,2.942,0.193,0.120,0.454,0.260,-0.053,-0.539,2.697,0.217,0.100,0.071,0.352,-2.068,0.856,0.464,1.531,0.951,0.305,0.340,0.342,0.368,0.903,0.902,1.187,1.631,1.288,0.596,0.645,0.988,0.988,0.992,0.976,0.973,0.995,1.051,0.106,0.301,0.096,-0.060,-0.277,0.774,0.905,0.130,1.235,0.968,0.622,1.525,1.525,1.525,1.525,1.664,1.587,1.587,1.539,0.113,-1.486,0.808,0.801,0.270,0.242,0.321,0.341,1.468,0.923,3.096,0.000,208.474,70.873
2010-06-03 11:00:00,1.686,1.044,0.185,2.951,0.185,0.078,0.465,0.246,-0.102,-0.642,2.987,0.210,0.053,0.071,0.441,1.039,0.882,0.449,1.549,0.953,0.289,0.333,0.338,0.365,0.913,0.920,1.211,1.541,1.262,0.587,0.640,0.986,0.986,0.988,0.974,0.972,0.995,1.050,0.061,0.298,0.106,-0.056,-0.279,0.573,0.893,0.133,1.184,0.958,0.619,1.525,1.525,1.525,1.519,1.666,1.587,1.585,1.528,0.370,1.114,0.792,0.833,0.243,0.298,0.381,0.365,1.479,0.865,0.885,0.000,208.250,70.569
2010-06-03 11:30:00,1.679,1.041,0.185,2.939,0.185,0.030,0.411,0.218,-0.080,-0.717,3.382,0.203,0.041,0.075,0.333,1.020,0.785,0.399,1.568,0.955,0.289,0.328,0.335,0.363,0.887,0.879,1.226,1.461,1.229,0.579,0.636,0.983,0.983,0.984,0.972,0.971,0.994,1.050,0.041,0.291,0.110,-0.053,-0.285,0.930,0.927,0.134,1.150,0.952,0.618,1.525,1.525,1.525,1.522,1.662,1.587,1.578,1.528,0.247,0.701,0.756,0.699,0.245,0.385,0.328,0.349,1.477,1.379,1.897,0.000,208.250,70.849
2010-06-03 12:00:00,1.677,1.041,0.199,2.936,0.199,-0.003,0.374,0.149,-0.157,-0.712,3.906,0.195,0.014,0.075,0.166,2.720,0.736,0.294,1.588,0.958,0.297,0.323,0.333,0.361,0.851,0.824,1.229,1.386,1.188,0.571,0.631,0.981,0.981,0.982,0.971,0.969,0.994,1.048,0.023,0.284,0.112,-0.050,-0.290,1.806,0.972,0.145,1.097,0.950,0.619,1.525,1.525,1.525,1.520,1.665,1.587,1.563,1.525,0.096,2.924,0.689,0.586,0.323,0.378,0.384,0.364,1.315,0.734,0.750,0.000,207.839,70.782
2010-06-03 12:30:00,1.682,1.043,0.208,2.944,0.208,-0.049,0.299,0.121,-0.201,-0.770,4.594,0.188,-0.036,0.056,0.080,1.109,0.607,0.261,1.611,0.961,0.291,0.321,0.332,0.360,0.842,0.793,1.204,1.313,1.136,0.564,0.627,0.968,0.968,0.982,0.968,0.969,0.993,1.047,0.012,0.275,0.112,-0.055,-0.294,2.171,0.979,0.155,1.071,0.947,0.614,1.525,1.525,1.525,1.519,1.667,1.587,1.534,1.523,-0.003,0.882,0.614,0.599,0.358,0.249,0.293,0.319,1.283,1.789,1.388,0.000,207.736,70.569
2010-06-03 13:00:00,1.684,1.044,0.209,2.949,0.209,-0.012,0.283,0.152,-0.238,-0.747,5.571,0.181,-0.099,0.009,-0.152,0.302,0.589,0.311,1.634,0.964,0.279,0.322,0.332,0.358,0.841,0.769,1.166,1.232,1.072,0.556,0.623,0.942,0.942,0.984,0.967,0.968,0.992,1.047,-0.010,0.266,0.113,-0.059,-0.300,1.465,0.992,0.158,1.036,0.942,0.617,1.525,1.525,1.519,1.521,1.670,1.587,1.525,1.525,-0.730,0.338,0.612,0.697,0.255,0.235,0.318,0.336,2.138,2.048,3.144,0.000,207.680,70.434
2010-06-03 13:30:00,1.686,1.046,0.230,2.952,0.230,-0.249,0.243,0.079,-0.267,-0.919,7.050,0.173,-0.290,-0.049,-1.069,1.481,0.526,0.213,1.659,0.967,0.302,0.326,0.332,0.357,0.769,0.661,1.127,1.158,1.025,0.551,0.619,0.869,0.869,0.987,0.965,0.966,0.991,1.046,-0.049,0.256,0.114,-0.063,-0.306,1.649,1.393,0.178,1.016,0.934,0.615,1.525,1.525,1.521,1.520,1.670,1.579,1.526,1.526,-1.803,0.955,0.556,0.539,0.271,0.344,0.363,0.346,0.924,1.073,0.800,0.000,206.821,70.057
2010-06-03 14:00:00,1.713,1.063,0.216,2.999,0.216,-0.840,0.234,0.065,-0.477,-1.470,9.366,0.165,-30.643,-0.190,19.600,1.033,0.539,0.220,1.687,0.970,0.288,0.335,0.333,0.356,0.794,0.649,1.081,1.087,0.973,0.548,0.617,0.754,0.754,0.992,0.964,0.966,0.991,1.046,-0.124,0.246,0.114,-0.070,-0.315,1.228,1.334,0.182,0.965,0.916,0.608,1.525,1.525,1.520,1.525,1.669,1.576,1.552,1.552,4.362,1.107,0.553,0.523,0.244,0.383,0.368,0.395,1.275,1.594,2.312,0.000,206.213,68.756
2010-06-03 14:30:00,1.722,1.067,0.288,3.013,0.288,8.896,-0.038,-0.159,-1.175,-2.633,12.489,0.147,0.668,-8.214,2.019,1.109,0.085,-0.100,1.716,0.973,0.422,0.375,0.343,0.359,0.444,0.092,1.098,1.087,0.954,0.556,0.620,0.490,0.490,0.997,0.963,0.965,0.990,1.046,-0.817,0.228,0.105,-0.095,-0.329,1.543,1.488,0.255,0.931,0.901,0.602,1.525,1.525,1.519,1.530,1.663,1.560,1.560,1.560,1.726,1.064,0.235,0.224,0.423,0.657,0.433,0.387,5.289,7.457,4.527,0.000,203.681,67.601
2010-06-03 15:00:00,1.735,1.075,0.292,3.036,0.292,1.793,-0.118,-0.156,-2.010,-8.808,17.536,0.130,0.543,0.775,1.531,1.233,-0.037,-0.086,1.746,0.976,0.416,0.404,0.353,0.362,0.432,0.035,1.225,1.191,1.031,0.563,0.623,0.361,0.361,1.002,0.963,0.965,0.989,1.044,4.493,0.212,0.097,-0.124,-0.355,1.778,1.388,0.275,0.900,0.893,0.597,1.525,1.525,1.521,1.541,1.654,1.570,1.570,1.570,1.369,1.547,0.201,0.201,0.413,0.623,0.409,0.398,0.876,3.319,1.046,0.000,203.429,67.016
2010-06-03 15:30:00,1.748,1.085,0.327,3.058,0.327,0.796,-0.319,-0.221,-3.435,-25.464,25.680,0.112,0.455,0.532,1.383,-0.292,-0.370,-0.172,1.778,0.979,0.443,0.418,0.364,0.365,0.408,0.091,1.389,1.326,1.137,0.569,0.625,0.297,0.297,1.007,0.965,0.964,0.989,1.044,1.051,0.197,0.084,-0.164,-0.392,1.482,1.240,0.363,0.876,0.888,0.595,1.525,1.525,1.520,1.558,1.637,1.580,1.580,1.580,1.145,-0.901,-0.018,0.177,0.486,0.419,0.340,0.424,1.221,2.038,2.810,0.000,203.242,66.460
2010-06-04 09:30:00,1.734,1.076,1.146,3.035,1.146,1.160,-1.000,-0.218,-7.561,90.826,30.512,0.097,0.449,0.496,2.330,1.587,-1.768,-0.155,1.793,0.980,0.467,0.428,0.371,0.368,0.111,0.000,1.389,1.327,1.140,0.574,0.627,0.267,0.267,1.008,0.967,0.964,0.989,1.044,0.804,0.182,0.075,-0.193,-0.422,1.768,1.313,0.385,0.872,0.889,0.596,1.525,1.525,1.525,1.570,1.624,1.573,1.573,1.573,1.337,1.410,-1.181,0.389,0.466,0.578,0.525,0.473,1.248,1.056,-4.510,0.000,201.299,66.335
2010-06-04 10:00:00,1.726,1.070,1.042,3.020,1.042,0.950,-0.849,-0.253,-5.398,26.329,51.947,0.062,0.513,0.489,2.142,-4.792,-1.472,-0.222,1.827,0.983,0.507,0.444,0.387,0.374,0.034,0.068,1.391,1.329,1.137,0.583,0.630,0.228,0.228,1.011,0.969,0.964,0.988,1.043,0.667,0.148,0.053,-0.261,-0.492,2.331,1.294,0.454,0.856,0.890,0.594,1.525,1.519,1.526,1.573,1.606,1.571,1.571,1.571,1.126,-1.174,-1.346,0.264,0.466,0.462,0.486,0.405,4.343,1.340,-1.776,0.000,201.046,66.562
2010-06-04 10:30:00,1.727,1.070,0.923,3.022,0.923,0.882,-1.402,-0.276,-4.619,-14.246,98.975,0.022,0.590,0.493,1.827,0.849,-3.014,-0.242,1.862,0.986,0.545,0.444,0.395,0.376,0.016,0.034,1.393,1.333,1.138,0.590,0.633,0.212,0.212,1.013,0.972,0.962,0.988,1.043,0.604,0.113,0.032,-0.343,-0.578,1.694,1.178,0.516,0.831,0.889,0.594,1.525,1.521,1.538,1.561,1.602,1.571,1.571,1.571,1.240,0.815,-2.996,0.341,0.638,0.439,0.435,0.382,5.769,1.485,-5.613,0.000,201.102,66.547
2010-06-04 11:00:00,1.727,1.072,0.791,3.022,0.791,0.947,-2.220,-0.297,-4.073,58.176,209.158,-0.027,0.581,0.504,1.883,1.015,-5.826,-0.278,1.899,0.989,0.537,0.448,0.403,0.380,0.006,0.015,1.406,1.346,1.163,0.597,0.636,0.200,0.200,1.013,0.974,0.962,0.987,1.043,0.567,0.070,0.009,-0.439,-0.667,0.925,1.282,0.543,0.825,0.886,0.593,1.525,1.520,1.547,1.564,1.599,1.571,1.571,1.571,1.059,0.961,-3.308,0.264,0.553,0.460,0.479,0.422,5.467,1.231,4.170,0.000,200.598,66.388
2010-06-04 11:30:00,1.719,1.067,0.650,3.006,0.650,0.943,-1.893,-0.269,-2.544,-13.403,-666.167,-0.087,0.637,0.521,2.180,0.821,-4.228,-0.235,1.936,0.993,0.522,0.451,0.411,0.385,0.066,0.128,1.431,1.356,1.196,0.604,0.639,0.189,0.189,1.012,0.976,0.962,0.987,1.042,0.601,0.011,-0.014,-0.543,-0.784,0.687,1.217,0.560,0.798,0.879,0.588,1.525,1.519,1.567,1.549,1.598,1.571,1.571,1.571,1.361,0.773,-3.100,0.229,0.503,0.439,0.425,0.406,6.152,2.814,-3.000,0.000,200.981,66.862
2010-06-04 12:00:00,1.704,1.057,0.578,2.981,0.578,1.065,-1.650,-0.179,-2.158,-21.525,-100.575,-0.158,0.878,0.600,2.840,0.666,-3.408,-0.103,1.976,0.996,0.499,0.453,0.416,0.389,0.049,0.084,1.477,1.415,1.229,0.611,0.642,0.180,0.180,1.008,0.979,0.962,0.985,1.042,0.636,-0.062,-0.036,-0.657,-0.925,0.630,1.274,0.555,0.786,0.872,0.584,1.525,1.521,1.561,1.544,1.598,1.571,1.571,1.564,1.385,0.671,-2.659,0.346,0.481,0.459,0.455,0.422,6.313,2.007,-15.222,0.000,200.757,67.340
2010-06-04 12:30:00,1.714,1.063,0.544,2.998,0.544,1.016,-4.006,-0.234,-3.081,8.741,-61.379,-0.250,1.379,0.740,2.213,0.917,-17.219,-0.186,2.019,1.000,0.486,0.459,0.422,0.393,0.016,0.031,1.538,1.455,1.267,0.617,0.645,0.173,0.173,1.004,0.980,0.962,0.984,1.041,0.668,-0.151,-0.055,-0.788,-1.115,0.678,0.964,0.568,0.775,0.869,0.578,1.525,1.520,1.547,1.544,1.596,1.569,1.569,1.559,1.500,0.904,-29.250,0.251,0.462,0.455,0.396,0.385,5.782,3.720,2.594,0.000,200.505,66.886
2010-06-04 13:00:00,1.717,1.065,0.542,3.003,0.542,1.016,-5.070,-0.180,-2.931,8.007,-48.024,-0.371,1.674,0.910,1.918,-53.571,-37.743,-0.106,2.063,1.003,0.477,0.466,0.428,0.398,0.039,0.074,1.625,1.502,1.307,0.625,0.648,0.166,0.166,1.000,0.983,0.961,0.984,1.039,0.684,-0.270,-0.078,-0.938,-1.386,0.885,0.777,0.595,0.760,0.871,0.577,1.525,1.525,1.545,1.544,1.594,1.566,1.566,1.557,1.416,-24.654,-90.556,0.281,0.562,0.446,0.416,0.396,-3.943,4.597,42.250,0.000,200.467,66.760
2010-06-04 13:30:00,1.714,1.063,0.577,2.998,0.577,0.992,-2.521,-0.114,-2.338,-960.000,-36.679,-0.514,2.404,1.476,2.007,1.788,-6.670,-0.017,2.108,1.007,0.522,0.466,0.431,0.401,0.262,0.457,1.728,1.549,1.372,0.633,0.652,0.163,0.163,0.998,0.985,0.961,0.984,1.039,0.662,-0.418,-0.095,-1.109,-1.750,1.631,0.845,0.631,0.757,0.872,0.576,1.525,1.530,1.550,1.554,1.594,1.566,1.566,1.552,1.507,1.683,-7.604,0.334,0.503,0.409,0.414,0.384,1.609,1.633,1.175,0.000,201.149,67.098
2010-06-04 14:00:00,1.719,1.064,0.556,3.006,0.556,1.403,-1.832,-0.075,-2.520,-39.556,-27.738,-0.668,-0.316,-3.026,1.824,1.978,-4.302,0.059,2.156,1.010,0.535,0.467,0.434,0.404,0.274,0.475,1.876,1.608,1.439,0.641,0.656,0.159,0.159,0.996,0.986,0.960,0.983,1.039,0.686,-0.605,-0.107,-1.281,-2.097,1.232,0.776,0.694,0.747,0.871,0.573,1.525,1.541,1.547,1.547,1.594,1.566,1.560,1.555,1.505,2.123,-4.891,0.439,0.606,0.510,0.416,0.424,3.021,2.433,4.263,0.000,201.887,67.161
2010-06-04 14:30:00,1.714,1.062,0.540,2.996,0.540,5.690,-1.362,-0.086,-2.295,-7.619,-22.101,-0.732,0.211,-0.457,1.943,1.864,-2.730,0.032,2.207,1.014,0.504,0.466,0.433,0.404,0.334,0.538,1.963,1.643,1.469,0.645,0.658,0.155,0.155,0.994,0.987,0.960,0.982,1.038,0.863,-0.758,-0.104,-1.346,-2.333,0.686,0.848,0.701,0.723,0.868,0.570,1.525,1.556,1.544,1.544,1.594,1.566,1.557,1.552,1.518,1.718,-3.403,0.407,0.432,0.798,0.448,0.394,-1.798,-27.700,13.161,0.000,202.140,67.461
2010-06-04 15:00:00,1.706,1.059,0.513,2.983,0.513,-1.048,-1.116,-0.077,-1.361,-3.728,-17.119,-0.753,0.322,-0.033,1.757,0.443,-2.037,0.045,2.262,1.018,0.521,0.464,0.434,0.404,0.309,0.453,1.455,1.452,1.349,0.648,0.660,0.142,0.142,0.995,0.987,0.959,0.982,1.038,-4.519,-0.883,-0.099,-1.333,-2.310,0.704,0.862,0.733,0.704,0.860,0.568,1.525,1.541,1.535,1.535,1.594,1.566,1.557,1.553,1.610,0.350,-2.108,0.420,0.820,0.616,0.408,0.400,-1.686,0.735,0.800,0.000,202.009,67.717
2010-06-04 15:30:00,1.697,1.053,0.552,2.968,0.552,-0.107,-0.687,-0.039,-1.024,-4.267,-13.285,-0.741,0.320,0.253,1.138,0.686,-1.100,0.079,2.318,1.022,0.563,0.460,0.434,0.404,0.369,0.503,0.938,1.289,1.236,0.650,0.660,0.123,0.123,0.996,0.986,0.958,0.981,1.037,-0.340,-0.937,-0.092,-1.247,-2.230,1.125,1.065,0.792,0.677,0.861,0.567,1.525,1.535,1.535,1.535,1.592,1.566,1.552,1.542,1.381,0.401,-1.287,0.518,0.701,0.342,0.333,0.416,-0.694,0.842,1.145,0.000,202.850,68.355
2010-06-07 09:30:00,1.727,1.072,0.806,3.020,0.806,0.989,-1.640,-0.046,-1.742,-19.420,-12.262,-0.721,0.395,0.369,0.871,-0.479,-3.743,0.143,2.348,1.024,0.518,0.459,0.434,0.404,0.413,0.651,0.933,1.289,1.236,0.650,0.660,0.149,0.149,0.996,0.985,0.958,0.981,1.037,-0.137,-0.943,-0.089,-1.194,-2.159,1.508,1.172,0.769,0.661,0.860,0.567,1.525,1.536,1.536,1.536,1.592,1.566,1.551,1.553,1.077,-0.584,-8.948,0.790,0.304,0.588,0.534,0.493,0.399,0.919,4.225,0.000,202.980,67.214
2010-06-07 10:00:00,1.728,1.072,0.554,3.021,0.554,1.640,-1.080,-0.094,-1.662,27.163,-10.659,-0.698,1.143,0.564,0.701,-0.147,-2.011,0.070,2.409,1.028,0.352,0.457,0.435,0.405,0.445,0.855,0.893,1.279,1.229,0.650,0.661,0.244,0.244,0.998,0.986,0.958,0.980,1.036,0.288,-0.975,-0.082,-1.116,-2.190,1.257,1.153,0.719,0.641,0.855,0.566,1.525,1.536,1.536,1.536,1.592,1.566,1.559,1.565,1.000,-0.249,-3.288,0.754,0.488,0.447,0.496,0.422,0.528,0.757,3.898,0.000,202.411,66.992
2010-06-07 10:30:00,1.726,1.070,0.578,3.016,0.578,1.178,-1.177,-0.071,-1.717,36.477,-9.430,-0.677,-2.381,0.759,0.702,3.680,-2.332,0.097,2.475,1.032,0.369,0.456,0.436,0.407,0.387,0.706,0.839,1.262,1.222,0.651,0.661,0.311,0.311,0.999,0.987,0.958,0.979,1.035,0.805,-0.973,-0.074,-1.049,-2.258,0.944,1.155,0.739,0.632,0.855,0.566,1.525,1.536,1.536,1.560,1.592,1.566,1.559,1.566,0.950,2.389,-4.218,0.935,0.347,0.429,0.450,0.397,1.367,1.120,3.089,0.000,202.214,67.036
2010-06-07 11:00:00,1.742,1.080,0.526,3.045,0.526,7.962,-1.480,-0.056,-2.623,9.453,-8.528,-0.654,-0.727,1.253,0.619,0.178,-3.478,0.136,2.542,1.035,0.360,0.456,0.438,0.409,0.462,1.004,0.741,1.259,1.221,0.652,0.661,0.400,0.400,1.001,0.988,0.956,0.979,1.035,0.833,-0.937,-0.065,-0.989,-2.367,1.060,1.134,0.741,0.632,0.852,0.565,1.525,1.536,1.536,1.562,1.592,1.560,1.570,1.572,0.958,1.301,-6.975,0.928,0.380,0.471,0.504,0.448,1.314,0.862,1.869,0.000,202.532,66.514
2010-06-07 11:30:00,1.744,1.081,0.490,3.049,0.490,-2.222,-1.763,-0.093,-2.412,12.012,-7.843,-0.642,-0.461,-83.750,0.580,-0.283,-5.119,0.078,2.614,1.039,0.369,0.459,0.440,0.410,0.512,1.330,0.655,1.252,1.231,0.653,0.662,0.528,0.528,1.003,0.989,0.956,0.978,1.035,3.043,-0.901,-0.055,-0.962,-2.390,0.636,1.174,0.772,0.624,0.851,0.564,1.525,1.536,1.536,1.570,1.587,1.558,1.572,1.574,0.873,-0.219,-13.855,0.796,0.359,0.457,0.443,0.422,24.087,6.897,-2.168,0.000,202.663,66.470
