datetime,F0,F1,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F29,F30,F31,F32,F33,F34,F35,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y,S1,S2
2010-06-02 14:30:00,1.427,6.184,7.322,1.287,1.464,-3.307,5.500,-2.510,149.231,5.856,-13.150,-8.907,-3.676,-1.935,-3.645,0.168,0.328,-2.224,-30.058,-39.397,2.040,2.159,2.276,1.688,2.018,3.152,-8.841,4.869,1.625,1.294,0.725,0.725,0.994,1.012,1.145,1.222,1.196,-7.086,6.953,-3.511,-15.773,6.857,1.466,0.753,1.187,1.180,2.416,1.969,0.948,0.946,0.920,0.920,0.861,0.923,0.914,0.914,-1.961,0.072,0.529,-3.856,2.098,2.617,2.006,1.830,1.264,-6.646,7.425,0.000,150.182,116.724
2010-06-02 15:00:00,1.422,6.190,7.062,1.282,1.412,-5.328,3.166,-2.893,53.889,5.037,-13.411,-9.696,-8.364,-1.308,-3.487,-1.349,0.649,-2.586,-29.182,-38.663,2.295,2.222,2.284,1.693,1.862,2.426,-11.130,4.625,1.633,1.298,0.586,0.586,0.996,1.008,1.145,1.223,1.196,-5.090,5.714,-3.516,-18.714,6.772,1.024,0.786,1.139,1.176,2.420,1.971,0.948,0.930,0.920,0.917,0.861,0.923,0.914,0.914,-1.836,5.449,1.813,-3.543,2.042,3.613,2.319,1.808,1.591,-7.680,9.358,0.000,150.264,117.182
2010-06-02 15:30:00,1.409,6.119,4.774,1.271,0.955,-0.694,2.044,-4.112,8.532,4.299,-13.810,-12.635,-1.018,-0.993,-1.636,0.223,0.416,-3.541,-28.168,-38.420,1.270,2.264,2.275,1.694,1.208,1.865,-17.676,4.677,1.625,1.297,0.465,0.465,0.996,1.005,1.145,1.225,1.197,-1.816,4.571,-3.692,-28.805,6.628,0.472,0.774,0.605,1.122,2.387,1.970,0.948,0.914,0.911,0.906,0.861,0.919,0.914,0.915,-1.182,0.378,1.116,-4.952,1.201,3.257,2.062,1.697,1.555,-26.565,4.726,0.000,150.330,118.311
2010-06-03 09:30:00,1.417,6.169,2.446,1.278,0.489,0.297,2.016,-167.444,5.626,3.209,-14.097,-16.354,-0.203,-0.629,-0.817,0.816,0.819,-15.213,-27.691,-38.073,1.194,2.265,2.260,1.690,0.925,1.847,-18.212,4.712,1.616,1.294,0.428,0.428,0.997,1.003,1.144,1.225,1.197,-0.864,4.114,-3.882,-39.467,6.367,0.594,0.857,0.505,1.115,2.372,1.964,0.948,0.910,0.910,0.910,0.856,0.917,0.914,0.914,-0.715,0.986,1.073,-33.196,1.186,2.019,2.861,1.613,2.023,1.169,5.659,0.000,153.189,119.875
2010-06-03 10:00:00,1.409,6.112,1.806,1.271,0.361,0.240,1.564,47.484,5.968,3.968,-14.600,-52.791,0.301,-0.077,-0.901,1.209,0.044,-22.029,-26.962,-37.393,1.120,2.201,2.221,1.683,0.824,1.812,-23.192,4.677,1.597,1.288,0.399,0.399,0.996,1.001,1.145,1.226,1.199,0.059,3.645,-4.332,-132.333,5.962,0.639,0.877,0.429,1.083,2.347,1.955,0.947,0.907,0.907,0.907,0.878,0.916,0.914,0.905,-1.021,1.111,0.120,-49.303,1.130,1.924,3.144,1.581,-3.235,-1.589,-1.649,0.000,152.693,120.158
2010-06-03 10:30:00,1.376,5.978,1.731,1.241,0.346,-0.285,0.773,9.444,4.392,3.255,-15.176,34.975,0.282,0.032,-0.897,-5.713,-0.418,64.964,-26.441,-37.188,1.205,2.135,2.183,1.673,0.734,1.727,-40.267,4.600,1.573,1.281,0.368,0.368,0.994,0.998,1.144,1.227,1.200,0.134,3.146,-4.988,66.444,5.580,0.541,0.885,0.394,1.037,2.311,1.943,0.940,0.900,0.900,0.898,0.877,0.914,0.914,0.892,-1.274,-3.530,-0.197,38.189,1.253,1.160,2.504,1.499,-4.179,-1.179,-1.300,0.000,150.215,121.028
2010-06-03 11:00:00,1.378,5.983,1.843,1.243,0.369,-0.107,0.997,10.538,4.388,3.766,-15.701,13.040,-0.057,-0.022,-0.908,-19.130,-0.357,213.375,-25.939,-36.563,1.308,2.088,2.160,1.663,0.729,1.658,-302.000,4.478,1.548,1.273,0.341,0.341,0.990,0.995,1.143,1.228,1.200,-0.121,2.821,-5.839,27.814,5.280,0.747,0.907,0.372,1.057,2.294,1.942,0.940,0.900,0.900,0.895,0.877,0.914,0.913,0.886,-1.592,-17.087,-0.110,64.739,1.239,1.399,2.094,1.486,1.905,-3.221,-6.481,0.000,150.297,120.910
2010-06-03 11:30:00,1.373,5.961,1.629,1.238,0.326,-0.065,0.952,6.522,3.791,3.925,-16.319,7.619,-0.204,0.033,-0.667,-11.395,-0.292,16.400,-25.462,-36.364,1.315,2.040,2.130,1.650,0.719,1.597,46.538,4.355,1.523,1.264,0.324,0.324,0.987,0.992,1.141,1.229,1.200,-0.151,2.589,-7.161,17.391,5.008,0.592,0.768,0.331,1.053,2.272,1.934,0.936,0.896,0.896,0.881,0.877,0.914,0.911,0.882,-1.373,-1.304,-0.091,15.816,1.475,1.289,1.710,1.457,2.667,9.957,4.339,0.000,150.661,121.663
2010-06-03 12:00:00,1.366,5.945,1.571,1.232,0.314,-0.100,0.989,5.272,3.968,4.024,-16.940,5.059,-0.174,0.037,-0.633,-0.108,-0.469,10.713,-25.145,-35.767,1.361,1.986,2.090,1.631,0.712,1.539,20.167,4.236,1.495,1.255,0.308,0.308,0.985,0.988,1.141,1.230,1.201,-0.102,2.378,-9.515,12.674,4.762,0.339,0.769,0.310,1.089,2.257,1.924,0.934,0.894,0.894,0.880,0.877,0.914,0.902,0.883,-1.372,-0.078,-0.080,8.241,1.448,1.826,1.814,1.595,-1.424,0.592,2.160,0.000,150.165,121.922
2010-06-03 12:30:00,1.369,5.929,1.584,1.235,0.317,-0.080,1.056,5.490,4.408,4.481,-17.589,3.716,-0.184,0.002,-0.642,-0.171,-0.313,11.281,-24.977,-35.593,1.393,1.929,2.052,1.605,0.728,1.486,12.625,4.095,1.466,1.245,0.297,0.297,0.983,0.984,1.140,1.230,1.203,-0.111,2.178,-14.017,10.075,4.578,0.669,0.665,0.301,1.094,2.239,1.921,0.932,0.893,0.891,0.878,0.877,0.914,0.889,0.876,-1.370,-0.108,0.034,8.575,1.410,1.559,1.613,1.401,-0.554,2.324,1.795,0.000,150.661,121.992
2010-06-03 13:00:00,1.370,5.956,1.507,1.235,0.301,-0.083,1.193,6.142,4.741,3.913,-18.313,2.916,-0.122,-0.120,-0.703,-0.399,-0.060,13.739,-24.812,-35.413,1.348,1.880,2.021,1.575,0.751,1.418,8.912,3.853,1.438,1.234,0.286,0.286,0.982,0.979,1.139,1.231,1.204,-0.108,2.003,-26.525,8.596,4.432,0.606,0.682,0.292,1.070,2.222,1.927,0.932,0.893,0.888,0.879,0.877,0.914,0.886,0.875,-1.429,-0.317,0.253,8.134,1.243,1.424,1.603,1.413,-0.261,2.172,1.173,0.000,150.529,121.839
2010-06-03 13:30:00,1.369,5.939,1.495,1.235,0.299,-0.168,1.063,6.709,4.375,4.319,-19.150,2.378,-0.148,-0.210,-0.768,0.301,-0.300,16.348,-24.791,-35.237,1.326,1.839,1.994,1.548,0.765,1.358,6.820,3.719,1.411,1.224,0.276,0.276,0.983,0.976,1.138,1.231,1.204,-0.123,1.849,-162.400,7.547,4.301,0.430,0.631,0.287,1.065,2.213,1.927,0.932,0.893,0.879,0.879,0.879,0.914,0.882,0.879,-1.337,0.202,0.080,11.364,1.162,1.616,1.638,1.511,-0.050,0.468,0.638,0.000,150.033,121.463
2010-06-03 14:00:00,1.382,5.989,1.362,1.246,0.272,-0.385,1.329,12.790,6.344,6.804,-19.953,2.006,-0.388,-0.212,-0.964,0.250,-0.550,-448.250,-24.904,-35.074,1.212,1.812,1.975,1.527,0.846,1.282,5.477,3.548,1.385,1.214,0.264,0.264,0.986,0.974,1.138,1.232,1.205,-0.180,1.709,47.824,6.788,4.264,0.429,0.507,0.257,1.049,2.189,1.917,0.932,0.893,0.879,0.879,0.883,0.914,0.887,0.887,-1.647,0.284,0.012,33.538,1.092,1.931,1.699,1.470,0.067,3.864,2.104,0.000,149.603,120.040
2010-06-03 14:30:00,1.384,6.023,1.469,1.248,0.294,-1.958,1.361,-12.533,14.702,58.605,-20.343,1.775,2.772,-0.598,-1.887,0.636,-4.412,-6.041,-24.871,-35.277,0.926,1.816,1.980,1.511,1.222,1.172,4.413,3.228,1.368,1.208,0.243,0.243,0.989,0.971,1.138,1.233,1.206,-0.486,1.599,24.254,6.402,4.303,0.917,0.862,0.246,1.010,2.133,1.894,0.932,0.893,0.879,0.879,0.890,0.896,0.895,0.895,-2.184,0.621,-1.123,-7.647,1.036,2.707,2.260,1.548,0.135,3.431,3.815,0.000,147.108,117.841
2010-06-03 15:00:00,1.395,6.069,1.534,1.258,0.307,4.000,-7.062,-6.396,-95.389,-8.016,-20.457,1.631,0.939,-17.059,-10.674,0.774,10.598,-4.373,-24.972,-35.105,0.859,1.819,1.999,1.499,1.730,1.251,4.282,3.183,1.354,1.205,0.221,0.221,0.994,0.968,1.137,1.235,1.207,-1.805,1.504,17.652,6.321,4.564,1.209,0.972,0.255,0.974,2.102,1.891,0.932,0.893,0.879,0.883,0.890,0.893,0.893,0.893,-9.667,0.790,3.856,-5.794,0.901,4.226,2.782,1.711,-0.212,-3.032,-111.200,0.000,146.629,116.535
2010-06-03 15:30:00,1.393,6.052,1.534,1.256,0.307,1.509,-2.775,-5.251,311.000,-9.124,-20.314,1.563,0.663,1.190,-4.966,0.338,6.571,-3.556,-24.933,-34.937,0.896,1.818,2.017,1.495,1.857,1.838,5.017,3.541,1.339,1.199,0.211,0.211,0.998,0.967,1.136,1.235,1.207,5.484,1.490,15.410,6.533,4.992,1.145,0.984,0.257,0.962,2.072,1.873,0.932,0.893,0.879,0.894,0.896,0.896,0.896,0.896,-4.605,-0.321,4.580,-5.204,0.799,3.236,2.358,1.677,-0.382,-4.172,-18.290,0.000,146.216,116.371
2010-06-04 09:30:00,1.414,6.140,2.004,1.276,0.401,0.955,-0.234,-4.498,-14.491,-6.143,-20.122,1.550,0.593,0.878,20.645,-0.365,2.663,-3.657,-24.844,-34.670,0.884,1.794,2.014,1.494,2.501,1.849,5.017,3.557,1.331,1.196,0.207,0.207,1.002,0.967,1.136,1.236,1.208,1.890,1.470,16.418,6.726,5.319,1.301,1.062,0.252,0.959,2.068,1.864,0.932,0.891,0.879,0.904,0.896,0.898,0.898,0.898,-30.026,-0.767,2.155,-4.433,0.970,1.559,2.563,1.571,-0.938,23.286,-1.478,0.000,147.538,115.665
2010-06-04 10:00:00,1.412,6.145,1.784,1.273,0.357,0.851,-0.535,-4.829,-10.125,-6.050,-19.859,1.551,0.414,0.576,29.238,-2.360,2.426,-3.857,-24.796,-34.866,0.981,1.741,1.998,1.490,2.245,1.951,5.058,3.573,1.314,1.190,0.206,0.206,1.006,0.967,1.135,1.237,1.209,1.102,1.459,20.934,7.310,6.061,1.340,1.055,0.259,0.952,2.069,1.862,0.932,0.888,0.879,0.906,0.896,0.898,0.898,0.898,-12.168,-12.365,1.991,-4.742,0.977,1.557,2.650,1.534,-0.550,-1.202,-1.194,0.000,147.687,115.971
2010-06-04 10:30:00,1.422,6.169,1.622,1.283,0.324,0.259,-0.164,-4.025,-7.692,-12.602,-19.336,1.657,0.263,0.468,3.524,2.731,1.501,-3.422,-24.747,-34.704,1.032,1.687,1.962,1.478,2.806,2.151,5.136,3.590,1.294,1.181,0.216,0.216,1.011,0.967,1.134,1.237,1.207,0.747,1.653,35.133,8.393,7.012,0.915,1.077,0.252,0.968,2.057,1.845,0.932,0.879,0.882,0.907,0.896,0.898,0.898,0.904,4.318,2.200,1.038,-3.624,0.795,0.863,1.895,1.357,-0.471,-0.980,-0.971,0.000,148.199,115.489
2010-06-04 11:00:00,1.434,6.240,1.808,1.294,0.362,0.155,-0.223,-4.728,-8.884,-11.249,-18.666,1.956,0.198,0.387,1.652,23.842,1.337,-4.107,-24.699,-34.200,1.023,1.620,1.915,1.462,3.495,2.553,5.216,3.713,1.269,1.171,0.242,0.242,1.014,0.969,1.135,1.238,1.208,0.410,2.066,132.250,9.850,8.125,1.242,1.149,0.253,0.975,2.048,1.836,0.932,0.879,0.890,0.915,0.899,0.901,0.901,0.907,1.175,10.260,0.756,-3.681,1.061,0.878,1.542,1.296,-1.046,-1.943,-1.964,0.000,149.058,115.218
2010-06-04 11:30:00,1.422,6.180,1.962,1.283,0.392,0.256,-0.240,-5.258,-12.829,-27.922,-18.075,2.458,0.119,0.315,2.964,0.609,1.503,-4.326,-24.508,-34.040,1.031,1.568,1.873,1.448,2.434,3.299,5.345,3.854,1.246,1.161,0.261,0.261,1.015,0.972,1.134,1.239,1.209,0.285,2.952,-83.842,12.111,9.508,1.747,1.204,0.272,0.981,2.042,1.835,0.932,0.879,0.908,0.913,0.899,0.901,0.901,0.909,2.304,0.745,0.911,-4.125,1.181,0.884,1.386,1.288,-0.949,-8.255,-13.030,0.000,148.529,115.747
2010-06-04 12:00:00,1.424,6.186,1.884,1.285,0.377,0.171,-0.207,-6.263,-10.117,-16.346,-17.489,4.030,0.075,0.224,2.942,-0.068,1.451,-4.834,-24.326,-33.892,1.087,1.504,1.825,1.431,2.901,5.083,5.491,4.029,1.223,1.151,0.291,0.291,1.015,0.974,1.134,1.241,1.210,0.259,6.553,-28.482,16.106,11.294,1.382,1.243,0.274,0.989,2.037,1.821,0.932,0.879,0.911,0.910,0.899,0.901,0.901,0.908,1.059,-0.100,0.839,-4.832,1.058,1.204,1.445,1.387,1.340,1.386,2.857,0.000,148.662,115.665
2010-06-04 12:30:00,1.425,6.193,1.860,1.286,0.372,0.273,-0.049,-5.260,-7.572,-5.420,-16.901,27.333,-0.031,0.090,2.033,-0.539,1.285,-4.242,-24.011,-33.738,1.100,1.440,1.777,1.413,3.709,15.600,5.636,4.215,1.202,1.141,0.319,0.319,1.015,0.977,1.134,1.242,1.210,0.210,-11.368,-17.549,24.524,14.667,0.774,1.124,0.271,1.002,2.034,1.807,0.932,0.879,0.911,0.916,0.900,0.902,0.908,0.916,1.128,-0.351,0.825,-4.370,1.090,1.032,1.256,1.223,0.912,4.976,4.862,0.000,148.034,115.148
2010-06-04 13:00:00,1.426,6.175,1.725,1.286,0.345,0.298,0.049,-4.648,-6.046,-5.319,-16.236,-3.956,0.036,0.021,1.508,-7.658,1.140,-3.813,-23.828,-33.587,1.105,1.383,1.731,1.396,4.821,-10.091,5.798,4.512,1.179,1.131,0.341,0.341,1.013,0.980,1.134,1.243,1.211,0.267,-2.109,-12.246,49.550,22.720,0.600,1.047,0.270,1.015,2.026,1.792,0.932,0.879,0.913,0.917,0.902,0.905,0.911,0.916,0.882,-3.819,0.775,-3.994,1.000,0.956,1.247,1.229,0.768,4.009,3.395,0.000,147.538,114.701
2010-06-04 13:30:00,1.432,6.228,1.742,1.292,0.348,0.136,-0.180,-5.614,-9.725,-7.968,-15.677,-1.592,-0.027,-0.159,1.639,0.996,1.262,-4.251,-23.528,-33.123,1.128,1.337,1.692,1.380,3.786,-3.333,5.960,4.848,1.158,1.121,0.369,0.369,1.012,0.982,1.133,1.244,1.212,0.263,-0.924,-9.630,-477.000,47.000,0.704,1.142,0.273,1.020,2.010,1.787,0.932,0.879,0.913,0.920,0.903,0.905,0.913,0.915,0.895,1.255,0.879,-4.996,1.111,1.045,1.285,1.300,-7.379,0.638,0.835,0.000,148.827,115.148
2010-06-04 14:00:00,1.429,6.222,1.636,1.290,0.327,0.128,-0.131,-4.959,-13.206,-8.186,-15.261,-0.952,-0.618,-0.462,1.824,0.859,1.384,-3.776,-23.232,-32.991,1.097,1.306,1.667,1.369,3.396,-1.807,6.196,5.337,1.139,1.111,0.396,0.396,1.009,0.986,1.135,1.245,1.212,0.191,-0.514,-8.036,-43.905,560.000,0.658,0.822,0.287,1.013,1.995,1.786,0.932,0.886,0.912,0.916,0.903,0.905,0.913,0.915,0.717,0.895,0.930,-4.216,1.265,1.396,1.381,1.315,0.676,8.741,6.052,0.000,148.761,115.336
2010-06-04 14:30:00,1.425,6.173,1.580,1.286,0.316,-0.912,-0.376,-7.092,-36.028,-15.202,-14.895,-0.818,-52.769,-0.994,4.791,0.287,1.637,-4.181,-22.827,-32.550,1.185,1.303,1.659,1.364,2.232,-1.206,6.554,5.828,1.131,1.107,0.624,0.624,1.006,0.987,1.134,1.245,1.213,-0.059,-0.373,-7.562,-32.000,-140.000,0.562,0.659,0.276,1.011,1.947,1.779,0.932,0.903,0.920,0.920,0.903,0.905,0.915,0.918,1.026,0.376,1.435,-4.601,0.844,3.134,2.167,1.489,0.019,5.380,5.398,0.000,149.339,116.100
2010-06-04 15:00:00,1.430,6.214,1.583,1.290,0.317,-36.667,-0.915,-6.195,23.159,-16.159,-14.664,-0.863,1.628,-3.056,3.140,0.841,1.861,-3.653,-22.546,-32.409,1.257,1.315,1.656,1.364,1.862,-0.964,6.326,6.089,1.130,1.107,0.998,0.998,1.004,0.989,1.135,1.246,1.214,-1.235,-0.363,-7.460,-30.138,-141.000,0.909,0.795,0.266,1.010,1.882,1.772,0.932,0.916,0.916,0.916,0.903,0.905,0.915,0.916,1.125,0.738,1.793,-3.884,1.886,6.417,2.691,1.726,-0.066,-2.432,-5.088,0.000,150.264,116.465
2010-06-04 15:30:00,1.425,6.184,1.662,1.286,0.332,4.390,-4.000,-11.912,47.500,-12.217,-14.531,-0.948,1.291,4.616,1.515,0.571,2.296,-5.740,-22.167,-31.991,1.309,1.321,1.655,1.365,1.692,-0.886,5.292,5.582,1.134,1.110,1.311,1.311,1.003,0.990,1.135,1.247,1.215,-52.000,-0.392,-7.634,-32.000,-189.000,1.179,0.875,0.281,1.015,1.854,1.772,0.932,0.919,0.919,0.919,0.905,0.905,0.915,0.915,0.574,1.016,1.294,-12.140,1.180,3.440,2.324,1.698,-0.284,64.667,8.812,0.000,150.496,117.065
2010-06-07 09:30:00,1.460,6.351,2.398,1.318,0.480,-7.486,0.104,-1.493,-8.426,-9.654,-14.423,-1.046,2.124,3.547,0.499,-0.462,1.998,-0.110,-22.086,-32.071,1.238,1.326,1.634,1.366,2.993,-0.877,5.330,5.582,1.138,1.111,1.544,1.544,1.004,0.992,1.134,1.249,1.215,15.586,-0.412,-7.380,-30.893,-284.500,1.485,0.953,0.287,0.986,1.800,1.780,0.932,0.928,0.928,0.928,0.905,0.911,0.915,0.928,0.376,-0.952,1.650,-0.090,0.724,1.527,1.878,1.576,-0.368,-0.583,-1.586,0.000,151.867,115.253
2010-06-07 10:00:00,1.472,6.409,4.702,1.329,0.940,-6.241,0.006,-1.856,-10.331,-7.074,-14.278,-1.178,13.605,2.982,0.331,-0.973,2.960,-0.491,-21.724,-31.667,1.041,1.321,1.581,1.366,3.808,-0.832,5.382,5.649,1.147,1.116,1.947,1.947,1.005,0.994,1.134,1.249,1.216,-13.250,-0.381,-6.819,-29.862,-287.500,2.050,1.128,0.369,0.977,1.743,1.798,0.932,0.938,0.938,0.939,0.905,0.911,0.920,0.933,0.236,-0.995,2.612,-0.605,1.040,1.435,1.874,1.536,-0.498,-0.732,-1.268,0.000,153.255,115.336
2010-06-07 10:30:00,1.466,6.366,4.683,1.323,0.937,14.190,-0.118,-3.114,-10.993,-6.141,-14.155,-1.362,-13.886,3.178,0.121,0.553,2.806,-1.144,-21.372,-31.276,1.008,1.320,1.536,1.365,3.150,-0.812,5.279,5.708,1.157,1.122,2.279,2.279,1.007,0.997,1.133,1.249,1.216,-8.606,-0.385,-6.637,-30.964,-145.250,2.648,1.192,0.403,0.973,1.725,1.798,0.932,0.938,0.938,0.949,0.905,0.913,0.921,0.943,-0.045,1.388,3.868,-2.413,0.772,0.824,1.328,1.333,-0.827,-1.211,-1.412,0.000,153.123,115.736
2010-06-07 11:00:00,1.463,6.357,4.521,1.320,0.904,-22.250,0.110,-2.862,-6.605,-4.698,-14.002,-1.494,-9.995,4.318,0.195,7.021,2.672,-1.275,-21.032,-31.162,1.066,1.320,1.495,1.362,3.808,-0.791,5.133,5.779,1.167,1.127,2.467,2.467,1.009,0.998,1.133,1.249,1.217,-85.667,-0.392,-6.405,-29.862,-73.375,1.767,1.286,0.406,0.975,1.663,1.798,0.932,0.938,0.938,0.944,0.905,0.913,0.925,0.935,0.160,7.958,3.198,-2.577,1.191,0.797,0.982,1.238,-0.959,-1.407,-1.945,0.000,151.999,115.124
